TARGET URL: https://www.yellowpageskenya.com/business-category/Hardware%20-%20Manufacturers%20&%20Wholesalers
El-Dad Steel & Hardware,eldadholdingslimited@gmail.com,0723892599
GM Kariuki Hardware,N/A,0722724444
Gusii Jumbo Hardware & Paints Ltd,gusiijumbo@gmail.com,0721320344
Jets Hardware And Paints,jetshardware@gmail.com,0721897165
Karimjee Hardware Stores,N/A,0733410292
Karims Hardware & Cycle Mart,N/A,N/A
Karky Hardware Stores,karky@gmail.com,0706014815
Kayuyu Hardware Store,N/A,N/A
Mega Hardware Store,N/A,N/A
Mount Carmel Timberland & Hardware,mt.carmelhardware@yahoo.com,0723663907
Muki Hardware & General Works,N/A,N/A
Mutai Hardware Stores Ltd,N/A,N/A
Oxford Timber & Hardware,oxford@gmail.com,0722741957
Ruiru Hardware Store Ltd,N/A,N/A
Sha-Fit Hardware,shafitsupplieslimited@gmail.com,0715111534
Shah Brothers Hardware Supplies & Wholesalers Co. Ltd,sales@shahbrothershardware.com,0104776839
Shushi Hardware,N/A,0712061433
Taha Hardware & Fasteners,muffasim16@hotmail.com,0722538876
Wairashaw Enterprises Hardware,alexanderwairachu@yahoo.com,0722520573
Mahesh Hardware & Paints Ltd,N/A,N/A
Patmar Paints & Hardware Ltd,N/A,N/A
Aberdare Timber Hardware,N/A,N/A
Ace Interiors & Timber Hardware,N/A,0729016706
Ace Locks & Hardware,acelockshardware@gmail.com,0725531897
Afnaan Hardware & Electronics,afnaan.hardwareltd@gmail.com,0720771014
Agape Hardware,N/A,0721470356
Al-Aqmar Glass & Hardware,N/A,N/A
Alibhai Shariff & Sons Ltd,info@alibhaishariff.co.ke,0727531024
Aliyah Ceramic Hardware,N/A,0722523730
Alizur Hardware & Locks,elizabethwanjiru430@gmail.com,0758585822
Al-Karim Hardware Ltd,N/A,0722263437
Amazing Grace Hardware,amazinggracehardware@gmail.com,0710709191
Amratlal Hardware Stores,N/A,0733600770
Anndave hardware,N/A,0726696793
Annie Hardware & Paints,N/A,0720998997
Anuj Hardware Ltd,N/A,0717125675
Apex Hardware & Electricals Ltd,N/A,N/A
Apex Steel Ltd - Nairobi Division,niku@apex-steel.com,0724853333
Atlas Hardware Ltd,N/A,N/A
Atomic General Hardware,N/A,0720763286
Augoken Hardware & Tools,N/A,N/A
Auto Serve & Hardware Supplies Ltd,autoservenhw@yahoo.com,0721491732
Avarest Doors & Timber Hardware,N/A,0721661085
Badar Hardware Ltd,N/A,0726094694
Banes Hardware & Accessories,N/A,N/A
Baraka Tools & Hardware,N/A,N/A
Basemap Hardware,N/A,N/A
Beam Electrical & Hardware Ltd,N/A,0722472073
Beaver Hardware & Glass,N/A,0716303030
Benams Hardware & Tools,N/A,N/A
Benco Hardware,N/A,N/A
Benji Hardware,N/A,0722622497
Benka Timber Hardware,N/A,0721109535
Benta Hardware & Supplies,nyagachathamary@yahoo.com,0723731119
Beracah Hardware,N/A,0721322835
Betejo Hardware & Electricals,N/A,0721477998
Bethel Hardware,N/A,N/A
Betken hardware,N/A,0721783143
Big Deal Glass & Hardware Supplies,N/A,0737104576
Bigshock Electrical & Hardware,N/A,0723783416
Blue Light Hardware & Paints,bluelightj70@gmail.com,0722844670
Boffins Tools & Hardware Stores,boffins08@yahoo.com,0723813370
Bolt Electrical & Hardware Ltd,info@boltkenya.com,0722801898
Bonny Hardware,N/A,0708835755
BRACE Electrical and Hardware,N/A,0717894840
Bricon Hardware Stores,briconhw@gmail.com,0722728219
Bridge line hardware,N/A,0722435582
Brimas Hardware,N/A,0721212381
Bring Hardware Supplies,N/A,N/A
Brivy Hardware Supplies,N/A,0722520924
Broadways Hardware & General Supplies,broadwayshardware@gmail.com,0722646599
Bromatt Hardware,N/A,0721451509
Bumper Hardware Ltd,divyeshshah99@yahoo.com,0711252222
Burhani Hardware Dealers,N/A,N/A
C Maina Hardware & Tools Stores,N/A,N/A
Cancerian Auto & Hardware Ltd,N/A,N/A
Capital Hardware & Tools Ltd,N/A,0722465089
Capital One Hardware Supplies Ltd,N/A,0722834572
Capital Timber & Hardware (Gikomba),N/A,N/A
Captain Glass & Hardware,N/A,0722371169
Carn Auto Spares & Hardware,N/A,0786597602
Carter Hardware & Tools,N/A,0721505690
Castle Electricals & Hardware Ltd,castleelectrical@yahoo.com,0723692058
Centaur Ventures,N/A,0721443142
Central Auto & Hardware Ltd,N/A,0725551960
Central Duka Hardware,N/A,0710354919
Charikin Hardware & Appliances,N/A,N/A
Charkar Hardware,N/A,0723338312
Chemwa Hardware,N/A,N/A
Cherrywood Hardware,N/A,0721261196
Citizen Hardware,N/A,0721975141
City Auto & Hardware,N/A,N/A
Classic doors and timber hardware,N/A,0713673000
Classic Hardware,N/A,0726497417
Conic Hardware & Tools,conichardware@yahoo.com,0722254386
Connie Timber & Hardware Ltd,N/A,N/A
Corner Hardware,N/A,0720635006
Coronation Hardware Stores,N/A,N/A
Crew Auto & Hardware,N/A,0736152244
Crosslane Hardware & Paints Ltd,N/A,N/A
Dakimah Paints & Hardware,N/A,N/A
Delta General Supplies & Hardware,N/A,0723235754
Deluxe Hardware Stores,N/A,0722834576
Denmart Hardware,N/A,0727870391
Devson Wholesalers Ltd,N/A,N/A
Divira Hardware Ltd,N/A,N/A
Docks Hardware,N/A,0721524362
Dynamic Hardware & Paints,N/A,0720207023
Eastleigh Hardware Store,N/A,N/A
Eastleigh Steel & Hardware,kifaaxone@hotmail.com,0722795248
Electro Hardware & Tools,N/A,N/A
Elgon (K) Ltd,info@elgonkenya.com,0722203089
Emukei Electrical & Hardware,N/A,N/A
Endarasha Electrical Hardware,N/A,0723958825
Equator Hardware,N/A,0729392649
Equatorial Woods & Timber Hardware,equitorialwood@gmail.com,0792616861
Estmat Hardware,estmathardware@gmail.com,0722799896
Eti Hardware,sales@etihardware.co.ke,0115000494
Euromax Hardware Ltd,euromaxkenya@yahoo.co.uk,0722568117
Eva Hardware,N/A,0721176186
Evarest Hardware & Autospares,N/A,0722609685
Ezulwini Hardware,N/A,0722704235
Famous Hardware,wgathuiya@yahoo.com,0721742657
Flamingo Steel & Hardware Ltd,flamingosteel@gmail.com,0722201356
Flowtec Hardware & Plumbing,N/A,0736852290
Flowtech hardware & Plumbing,danielnzau@gmail.com,0774992788
Franex Hardware,N/A,0726120810
Friends Corner Auto Paints And Hardware,N/A,N/A
Frontline Hardware,N/A,0723369648
Gaitfield Electrical And Hardware,N/A,0721342825
Galleria Hardware & Tools,N/A,0737269669
Garbon Electrical & Hardware Ltd,N/A,0792789408
Garden Road Hardwares Ltd,N/A,N/A
Gasa Glass & Hardware,N/A,0722635100
Gatanga Furniture & Hardware Store,N/A,N/A
Gee Paints & Hardware,N/A,0734435313
General Ceramics and Hardware Ltd,N/A,0736960985
General Hardware (K) Ltd,N/A,0720290747
Gichiche Hardware Stores,N/A,N/A
Gikurwa Timber & Hardware,N/A,0722240328
Gloria hardware and aluminium,N/A,0726020702
Glory Hardware & Electrical Ltd,gloryhard@gmail.com,0738939393
Graylight Hardware,N/A,0728443903
H & H Services (K) Ltd,N/A,N/A
Hamid Auto & Hardware,N/A,N/A
Hardware Enterprises Ltd,N/A,N/A
Hardware Kasarani,N/A,N/A
Hardware & Paints Ltd,N/A,0733709250
Hardware & Tools Ltd,N/A,N/A
Hardware & Welding Supplies,dynaweldnrb@gmail.com,0726102499
Harvest Hardware,N/A,0720200926
Harvester Hardware,N/A,0707601936
Hembin Hardware Ltd,N/A,0722431641
Highridge Hardware,highridgehw@gmail.com,0732786486
Hitu Electricals & Hardware Ltd,hitupatel78@yahoo.com,0733960985
Homecare & Hardware Ltd,homecarecomms@gmail.com,0735941310
Hong Kong Ceramics,N/A,0722837999
Hong Kong Hardware Ltd,N/A,0722837999
Houseman ''n'' Hardware,N/A,0735706705
Husseini Aluminium Glass Hardware and Timber Mart Ltd,N/A,0722975488
Hysal Hardware Ltd,sales@hysal.com,0722832071
Impact Auto Hardware Ltd,N/A,N/A
Industrial & Technical Hardware Ltd,N/A,0733610270
Issa Ceramics & Hardware Ltd,N/A,0722710265
Itui Hardware Ltd,info@tuihardware.co.ke,0722128128
Ivory Hardware,N/A,0722236473
J S & Co Hardware Ltd,N/A,0720743266
Jacben Glass Aluminium & Hardware,N/A,N/A
Jackies Hardware,N/A,0706561382
Jassan Hardware,jogi_pan@yahoo.com,0722713780
Jeccy Gideon Hardware & Electronic,N/A,0725537705
Jeed Auto Spares & Hardware,N/A,N/A
Jeffka Hardware,N/A,N/A
Jerane Electricals Hardware Sales & Supply,jeranesupply@gmail.com,0720611441
Joiba Hardware,N/A,0722938102
Jojim Hardware,N/A,0728935186
Jomuwa Hardware & Electrical Agencies,N/A,N/A
Jophys Hardware,jophyhardware@gmail.com,0727491297
Josmwak''s Electrical Hardware Sales,N/A,N/A
Jowam Hardware,N/A,0721558812
Jubilee Giant Hardware Ltd,N/A,N/A
Jubilee Jumbo Hardware (NRB) Ltd,N/A,N/A
Juma Hardware Store Ltd,N/A,0733600547
Jumla Auto & Hardware,N/A,N/A
Jyoti Hardware Ltd,N/A,0714973590
Kadema Tools & Hardware Centre,N/A,N/A
Kageti Hardware,N/A,N/A
Kags Trading Co. Ltd,kagshardware@yahoo.com,0710344567
Kalu Hardware & Tools Ltd,kaluhardware@yahoo.com,N/A
Kanda''s Hardware,kandahardware31@gmail.com,0723347698
Karanja Hardware Shop,N/A,N/A
Karima Hardware Store,N/A,N/A
Karu Hardware Stores,N/A,N/A
Kawangware General Hardware Store,N/A,N/A
Kebol Auto & Hardware,N/A,N/A
Kekline Plumbing & Hardware,N/A,0798870890
Kenauto & Hardware Ltd,N/A,0725460574
Kenmica Auto & Hardware 2004 Ltd,alnoornurani@gmail.com,0711914383
Kenon Hardware Agencies Ltd,kenonhardware@gmail.com,0725819584
Kenply Timber & Hardware Ltd,keply@wananchi.com,N/A
Kensta Metals & Hardware,kenstametal@yahoo.com,0721555586
Keshav Chemical Hardware Ltd,N/A,0722826402
Kibishi Hardware,kibishi@gmail.com,0723399637
Kilima Electrical & Hardware Dealers,N/A,N/A
Kimdevis Glassmart & Hardware,N/A,0722239310
"Kims Timber, Electrical & Hardware",N/A,0724513209
Kirathimo Hardware,N/A,0702263351
Kirindi Hardware,N/A,0723943534
Koflan Hardware,N/A,0722127149
Kombo Munyiri Hardware Ltd,N/A,N/A
Krishna Wood Furniture & Hardware,N/A,0728876566
Lama Hardware,N/A,0722666005
Laxcon Hardware & Spares Ltd,marketing@laxconhardware.com,0732200105
Laxcon Hardware & Supplies Ltd,N/A,0773831090
Lemek Hardware,N/A,N/A
Lexas hardware,N/A,0721300970
Libra Hardware Ltd,N/A,N/A
Liwan Autospares & Hardware Ltd,N/A,0720442068
Lizjoh Hardware,N/A,0713426091
Longchain and Interiors Hardware,longchaininteriorshardware@gmail.com,0721658941
Ludome Hardware Store,N/A,0783264571
Lusoi Hardware & Paints (K) Ltd,N/A,N/A
Lydia Wambugu Hardware,N/A,N/A
M K Hardware Dealers,N/A,N/A
Madrid Auto Paint & Hardware,antonygmudai@yahoo.co.uk,0721319878
Makkah & General Hardware,N/A,0724172724
Malucky Hardware,N/A,0722631491
Mangu Auto & Hardware Ltd,N/A,0772517999
Manzil Glass & Hardware Ltd,manzilglass@gmail.com,0721222294
Marin Hardware,ryhabwamaitha03@gmail.com,0713505455
Mariro hardware,N/A,0722701418
Markson Suppliers Hardware,N/A,0729589348
Mars Auto Electrical & Hardware,N/A,0722433045
Mars Auto Spares & Hardware Ltd,info@lubricants.co.ke,0722202513
Matchvats Hardware,N/A,0710149579
Mathaga Hardware Tools & Paints,N/A,N/A
Mawaitha Hardware & Paints,N/A,0723944875
Mawe Tools & Hardware,N/A,0721596196
Maxcart Hardware,N/A,0702876453
Mburu''s Electricals & Hardware Supply,N/A,N/A
Mcc Hardware,N/A,0796189910
Mega Hardware,N/A,0710723407
Mercand Hardware & Paints,N/A,0738137803
Mercs Hardware & Paints Ltd,N/A,0738737803
Meridian Hardware,meridianhardware1@gmail.com,0714541400
Metal Work Hardware & Tools,N/A,0713631430
Metris Hardware & Paints,N/A,0713011411
Metrix Hardware Ltd,metrixkenya@yahoo.com,0724456777
Mfalme Hardware,N/A,0729566151
Michewa Hardware,N/A,0721224508
Michwa Hardware,N/A,0721857719
Mijengo Hardware,N/A,0705976321
Mikki Auto & Hardware,N/A,N/A
Millenium Hardware & Commodity Ltd,N/A,N/A
Milliions Hardware,N/A,0720634567
Moshefa Hardware Materials,N/A,0722219269
Mount Kenya Auto Paint & Hardware,N/A,0724772143
Mount Kenya General Hardware & Electricals Ltd,sales@mtkenyageneralhardwarelco.ke,0710973921
Mount Kenya Timber & Hardware Store,N/A,N/A
Mountain Timber Hardware & Tools,N/A,0712462389
Mountain View Transporters Ltd,N/A,0722737996
Mountex Glass Hardware,muturilaban26@gmail.com,0721629845
Msafiri Hardware,N/A,0721302320
Mt Kenya Timber & Hardware,N/A,N/A


TARGET URL: https://www.yellowpageskenya.com/business-category/Household%20Appliances
Company Name,Email,Mobile
Waridi Household,info@waridihousehold.co.ke,0703681283
Branton Safety & Fire Appliances,brantonsafety@yahoo.com,0712913638
Consolidated Appliances Ltd,maanki@quickpack.co.ke,0723549944
Fire Masters Appliances Ltd,firemastersco.kenya@gmail.com,0724386202
Primal Facilities Management,bensonmacharia55@gmail.com,0714045217
Buytec Stores Ltd,sales@buytec.co.ke,0728997036
Thames Electricals Ltd,lnl@africaonline.co.ke,0722509285
Paceven Co. Ltd,sales@paceven.co.ke,0714220230
Classic Household Dealers,N/A,0722579724
Household Galore,ruthwambui36@gmail.com,0739303431
Oasis Household & General Supplies,N/A,0720024958
Super Household Utensils Ltd,N/A,N/A
Tectonic Household & General Supplies,N/A,0703176109
Trizah Household,N/A,0704250645
Shakoors Household Ltd,N/A,N/A
Vardhman Household,N/A,0724881777
Household Of Faith Ministries,N/A,N/A
Imperial Household Agency Ltd,N/A,N/A
Shishi Collection & Household,N/A,0720678828
Thomson Household,thomsonfurniture1974@gmail.com,0789110001
Thrive Bedding & Household,N/A,0729478881
Anco Hardware & Household Ltd,N/A,N/A
Bin Athman House Hold Store,N/A,N/A
Utopia Household Store,utopiahouseholdstore@yahoo.com,0733603380
Yogi Household Sales,N/A,N/A
Megamart Appliances Ltd,megaappleltd@yahoo.com,0722206060
New Deira Appliances,N/A,0715163727
Abby''s Households,N/A,0723957094
Abi Holdings,N/A,0701636662
Al Yassin Appliances Ltd,N/A,0700555702
Alata Linen Basket,N/A,0707502975
All Seasons Households,N/A,0707865027
Amsterdam Stores,N/A,0729415618
Bee Ventures,N/A,0721445840
Best mark traders,N/A,0710429277
Charikin Hardware & Appliances,N/A,N/A
Chenille Ltd,N/A,N/A
Cherry Households,cherryhouseholds@gmail.com,0725715323
Ck stylish Collection,N/A,0723397255
Comfort Interiors,N/A,0723564988
Deka Houseware,dekahouse@live.com,0720251099
Dolphin Empire Homes & Interior Home Decor,N/A,0712689072
Dorika Enterprises,N/A,0721263053
Dragon Engineering Ltd,info@dragonfire.co.ke,0721228326
Electrical & General Appliances Ltd,N/A,0722515000
Elites Age Electronics & Home Appliances,N/A,0723114433
FineFare Electronics and Home Appliances Kenya,finefarelectronics@gmail.com,0797341032
Fridge Market,N/A,N/A
Gnams Investments,N/A,0713902675
Golden Ever Green Ltd,charlesngugi1968@gmail.com,0702406652
Hankins Enterprises,N/A,0705107077
Happy Kitchen Appliances,happykitchenappliances@gmail.com,0723837426
Home Refrigeration Services,N/A,N/A
Hotpoint Appliances Ltd,N/A,N/A
House of Homes,N/A,N/A
House Wife''s Paradise Ltd,zul@housewifesparadise.com,0714185757
Housematt Households Holdings,N/A,0777333333
Hypermart Ltd,showroom@hypermart.co.ke,0735501441
ICT & computer appliances,N/A,0720427270
Ideal Appliances Ltd,N/A,0732000027
Infinity Security Appliances,N/A,0733639541
Jaed utensils enterprises,quiivy809@gmail.com,0702561183
Jakama Kitchen Equipment & Appliances,jakama@gmail.com,0704377203
Kamukunji Mattresses,frednderitu12@gmail.com,0722302409
Kenya Fire Appliances Co. Ltd,kenfire@kenyafire.com,0726745123
Kiqwetu Concepts,N/A,0723654933
Kitchen Appliances Ltd,N/A,0725911296
Kitchen Mart Kenya,kitchenmartkenyaltd@gmail.com,0791628223
Kitchen Plus 254,N/A,0712332494
K-Net Home Appliances,N/A,0721300644
Knight Fire Appliances,aknightfire@yahoo.com,0708400488
Knight Tech Fire & Security Appliances,knighttech2@gmail.com,0723528458
Kwa Mahiga,N/A,0722648624
Leading Concepts Ltd,N/A,0727531024
Lee & Co. Importers,N/A,0722597531
LG Service Centre,N/A,0734333026
Live Star Agencies Ltd,N/A,0722225887
Lovely Heart Enterprises Kenya,N/A,0705893335
Lujay Interiors,N/A,0719572820
Lush Households,N/A,0725441488
Malaki Households & General Supplies,N/A,0711868206
Mali Mare True,N/A,0713449910
Mary''s Households,N/A,0727151193
Mitch Designs,N/A,0728537199
MK Quality Supplies,N/A,0721339521
Modern Ventures,N/A,0705616072
Mofam Entreprises,N/A,0792041963
Moz Fine Collections,N/A,0729172376
Mukore Trade Centre,N/A,0722271830
Multi Buys,N/A,0720903655
Nairobi City Collections,N/A,0724901634
Nairobi Kitchen Care Ltd,sales@nkc.co.ke,0725432346
Nevada Enterprise/Kitchen Ware Ltd,N/A,0713527895
Njenga Enterprises,N/A,0726154538
Novaka Households,N/A,0715506997
Pots & Pans Ltd,N/A,0733731442
Prestige Appliances Ltd,N/A,N/A
Prudont Enterprise,N/A,0718145345
Rasma Trading,N/A,N/A
Rhineland Households Ltd,rhinehouse@gmail.com,0723338012
Sanford & Daughters,sanfordanddaughters@gmail.com,0710691010
Setia General Supplies,N/A,0722627890
SHK Tradlink Ltd,N/A,0789707703
Shoerack and Tv Trolley (Neo Mart),antonjomo@gmail.com,0729010784
SilentStar Beddings,N/A,0723539516
Skywave Electronics & Appliances,N/A,0715673896
Smart Households,N/A,0797823539
Smart Kitchen Appliances Kenya,N/A,0728604992
Solar World Electricals,N/A,0726375473
Super Bargains (K) Ltd,N/A,0711572058
Trendy Kitchen Options,N/A,0721701313
U-Households,N/A,0721581597
Umit & Co Ltd,N/A,0723891049
Vimak Collection,N/A,0722778289
Voxzu Home Appliances Ltd,N/A,0733844121
Wagold Enterprises,N/A,0722711884
Zawadia appliances,N/A,0716293411
Zuberis appliances,N/A,0721885323
Alitech Appliances & Services,N/A,N/A
Moddy''s Agencies,N/A,N/A
Orchard Plaza Ltd,N/A,N/A
Flamingo Jua Kali Goods,flamingojuakali@yahoo.com,0722904527
Home Solutions,N/A,0722997906
Wins Fire Appliances,N/A,0722389892
Alltech Appliances & Services,altech@africaonline.co.ke,0726357357
Arassan Mini Market,N/A,N/A
Eldofire Appliances,eldofire@gmail.com,0727328655
Gudka Sales Ltd,N/A,0722745376
Paddy Varieties,N/A,0722986191
Pish - Electrical Appliances,pishmutuku@yahoo.com,0722293201
Prime World Logistics & Consulting Firm,N/A,0705297633
Sunbake Enterprises Ltd,N/A,0768627526
Teekay Traders,ashok.k.vora@gmail.com,0725953111
Victory Belidom Traders. Co. Ltd,N/A,0708661166
Yamaz Electricals & Home Appliances,yamazelectricalksm@gmail.com,0725379714
A.Chotai,N/A,N/A
Ably Electronics Systems,abyelectronics@gmail.com,0724385476
Absolute Car Audio,N/A,0720836026
Abstract Solutions,N/A,0722166019
Abuja Electronics,N/A,0720831634
Accurate Electrical,accurate.comm254@gmail.com,0705404254
Affinity Current Ltd,N/A,0705376596
Afro Friends Electrical Services,N/A,N/A
Akinda Shop,N/A,0720810404
Alfa Sound Electronics,N/A,0720434209
Algesh Enterprise Ltd,N/A,N/A
Ali Baba Electronics,N/A,0721111533
Aligator Electricals,N/A,0720072515
Alisha Electronics,N/A,0710434404
"Alligator Electricals, Refrigeration And Air Conditioning",N/A,0720075515
Al-Rodema Enterprises Ltd,N/A,0701943584
Ama Computers Technology,N/A,0722576579
Amani Electricals,N/A,0729965966
Amtrack Electricals,N/A,0715676799
Anjie Electricals,anjie@yahoo.com,0721268401
Anke Home Appliance Services Ltd,anke@anke.co.ke,0720331000
Annest electrical,N/A,0726510924
Antique Electronics,taqwaelectronics@yahoo.com,0733813048
Arman Electricals,amranelectronics.ke@gmail.com,0729881179
Armco Kenya Ltd,sales@armcokenya.com,0772558685
Auto & Electro Care Ltd,autoelectro1989@gmail.com,0705430666
Avitech Electricals,N/A,0722595483
B K Electrical Store,N/A,0720948715
Baraka Holdings,N/A,0710685866
Baraka Home Funitures,N/A,0721273505
Bass & Treble,N/A,0722519547
Beavertech Electricals,N/A,0727070546
Bees Electronics,N/A,0722363304
Bengo investments,N/A,0710988941
Bentac Investments,N/A,0722641304
Benvero Ltd,N/A,N/A
Beracan Enterprise,N/A,0721828693
Besa Electrical Company,N/A,0734193629
Bett Co (K) Ltd,info@bett.co.ke,0733605297
Betterdeal Electricals,betterdealelectricals@gmail.com,0704368074
Betty Hair Salon,N/A,0701751367
Beyond Now System,N/A,N/A
BG-max Electronics,N/A,0727909003
Biashara Man Enterprises,N/A,0723682337
Blessed One Electricals,N/A,0702126304
Blimby Electronics,N/A,0720369404
Blueline Electricals & Supplies,N/A,0722777835
Bluez Electrical & Allied,N/A,0721644111
BMN Trading Point,bmntrading@gmail.com,0724389550
Bob Agencies Ltd,N/A,N/A
Brima Electricals,N/A,0700321146
Brimax Electricals Sales & Supplies,geoffreymberere93@gmail.com,0728244947
Brothers enterprise,N/A,0708161126
Buwan Electrical & Electronic Supplies Ltd,N/A,0722238369
By Faith Electricals,N/A,0725504611
Cevitel Electricals,monicathuo67@gmail.com,0727605227
Chacoline Electro Services,chacolineelectro@yahoo.com,0727928339
Chamlight electrical,charleskauku22@gmail.com,0715304533
Chania Electrical Co,N/A,N/A
Chatim Enterprises,N/A,N/A
Chawako Enterprises,N/A,0712721222
Clarion Power Electricals,N/A,0722908795
Clasique Sounds & Entertainment,pioneerelectronics@gmail.com,0713835190
Clean Vision System,N/A,0706442119
Client World Electronics,N/A,0702752541
Cloud9 Systems,N/A,0729450545
Consumer Link Electrical Services Ltd,consumerlinkelect@yahoo.com,0722260122
Cool Kenya,N/A,0722813450
Coral Refrigeration & Elecricals,N/A,0722305684
Corporate Computers,N/A,0712581561
Coskan Electrico Sales,N/A,N/A
Cost Wise Electricals,N/A,0706046460
Cousin Enterprises,N/A,0720305896
Credible Electronics,N/A,0700005494
Crosslay Engineering,N/A,0722728378
Crotchet Technologies,N/A,0721965552
Crown Top Limited,N/A,0722376531
Daktech Enterprises,daktech@yahoo.com,0722452879
Dallasco Logistics International Ltd,info@dallasco.co.uk,0715378321
Danetech Computers,N/A,0721175229
Danitech Electricals,dgithinji26@yahoo.com,0725992506
Davco Systems,N/A,0720899829
Daves Corner Electricals Ltd,N/A,0722732467
Davtronic Enterprises,24davidmurgo@gmail.com,0724282778
Dawan Power Hub,susanwaitherawainaina@gmail.com,0797165603
Delon Electrical Sales & Services,N/A,0720999793
Denright Enterprises Co. Ltd,N/A,0722840163
Digital Solutions Technology,N/A,0711523369
Divans Communications,N/A,0721520713
Doshi & Co. Electricals Ltd,N/A,0728293111
Duosoft Technologies,N/A,0723514963
Durable Traders,durabletraders@gmail.com,0722467208
Dwas Enterprise,N/A,0729944144
Dynatech Electronics,kihara85@yahoo.com,0713738644
Ebys Electronics,N/A,0729449974
Elebuca Electrical & Hardwares,N/A,N/A
Electric Controls Ltd,N/A,0723961958
Electric Means Ltd,electricmeans@yahoo.com,0727343487
Electrical Appliance,N/A,N/A
Electrical Distributors Ltd,info@edl.co.ke,0733222235
Electric-Link,info@electriclink.co.ke,0722552969
Electromall Kenya,N/A,0705115593
Electronic Hub,N/A,0706956792
Electronics & Allied Equipment,electroallied@yahoo.com,0721859261
Ellen Electronics,N/A,0721708351
Elvees Electrical Ltd,N/A,0707126614
Emaco Electricals,N/A,0722485076
Emirates Electrical & Supplies,N/A,0727675490
Emoo FM,N/A,0733918918
Enl Electronic Shop,N/A,0786229244
Ercho Services,N/A,0724770093
Esacom Enterprises,esacomltd@yahoo.com,0722599799
Esmo Electricals,esthermumbi7@yahoo.com,0726694225
Euro Watt Enterprises,N/A,N/A
Evaka Electrical Works,N/A,N/A
Evercomps Technologes Ltd,N/A,0701448450
E-Zone Ltd,ezone@gmail.com,0722810007
Farayere Electrical Ltd,N/A,0717297245
Fellab Electrical,wambofelix@gmail.com,0720776408
Feltech Automation Ltd,feltechautomation@gmail.com,0720361743
Flony Enterprises,bernardnw45@gmail.com,0721517816
Focus electronic,N/A,0728439430
Franky Assessories Sales,N/A,N/A
Gaberone Electricals,N/A,0722309881
Gabmars Electrical Sales,N/A,N/A
Gadge Boy Store,N/A,0723761421
Gadgets Repair World,N/A,0724755561
Garbon Electrical & Hardware Ltd,N/A,0792789408
Gates Solutions Ltd,N/A,0707156062
Gateway Prosthetics & Orthotics,N/A,0722673976
Gentoll Electrical Sales,gentollelec@gmail.com,0722896209
Geolite Enterprises,N/A,0720787068
Gesmish,N/A,0705234596
Gifran Electricals,N/A,N/A
Giftech Electrical,N/A,0727312054
Gimart Enterprises,mgituthu@gmail.com,0707343322
Gimex Electricals,N/A,N/A
Glama Electrical & Mechanical Co. Ltd,glama@marketafrica.com,0773409331
Glocal Communications Ltd,N/A,0720042058
Goodlite,N/A,0721288774
Greggs Electronics,mykemainah@gmail.com,0705336361
HardComp International,info@hardcomp.co.ke,0740191974
Hardel Enterprises,hardelenterprises@yahoo.com,0725535285
Hardexo Co Ltd,N/A,0721804773
Hillary Shah Electricals,N/A,N/A
Horizon Electroweld Services,N/A,N/A
Hotsprings Electrical Investment,smngigi@yahoo.com,0722910306
