"TARGET URL: https://www.yellowpageskenya.com/business-category/Contractors-Engineering,%20General"
Lenitech General Contractors,N/A,0720680979
Lirona General Contractors Ltd,lironacontractors@gmail.com,0722836672
Magic General Contractors Ltd,N/A,0714701507
Nakadar General Contractors,N/A,N/A
Okapi Suppliers & General Contractors Ltd,info.okapi@gmail.com,N/A
Ring Road General Contractors Ltd,ringroad2002@yahoo.com,0724982080
Ruter General Contractors Ltd,N/A,0721222198
Safari General Contractors,N/A,N/A
Sameda Plumbers & General Contractors,samedaplumbers@yahoo.co.uk,0722816226
Sequide Civil Engineering & Building Contractors Ltd,N/A,N/A
Silanga General Contractors Ltd,N/A,0725440344
Silken Contractors & General Supplies Ltd,N/A,0722510945
Simakon Building & Civil Engineering Contractors,N/A,0711306580
Snowpeak Refrigeration and General Contractors Ltd,N/A,0723044573
Star General Contractors E A Ltd,N/A,N/A
Tecina General Contractors,N/A,N/A
Two D & M Contractors & General Supplies Ltd,twodmcontractors@gmail.com@gmail.com,0722819097
Westbuild General Contractors,N/A,N/A
Willadams Builders & General Contractors,N/A,0720174358
Secure General Contractors Ltd,N/A,0722220132
Kiwi Contractors & General Supplies,N/A,N/A
AMAS General Contractors,N/A,0725536557
Beula General Contractors,janebeula@gmail.com,0722431041
Coast Building & General Contractors Ltd,kuldipsoar@africaonline.co.ke,0733410460
Finesand General Contractors,skingori2@gmail.com,0723936566
Frema General Contractors Ltd,muyatiras@yahoo.com,0722786504
Kenkal Ship & General Contractors Ltd,N/A,0771470024
Lily General Contractors Ltd,jachiro12@gmail.com,0721653136
Liya Motors Engineering Contractors,liyamotors@ymail.com,0722570395
Matic General Contractors Ltd,N/A,N/A
Ndovu Builders & General Contractors Ltd,ndovubuilders@yahoo.com,0722676075
Seed Enterprises & General Contractors,N/A,0736203530
Symaocon General Contractors Ltd,symaocon@gmail.com,0700802040
Vicks Contractors & General Transporters Co. Ltd,N/A,0722613013
Zipak General Contractors Ltd,N/A,N/A
Alikim Painting Contractors,N/A,0712224830
Ashanta Marble Contractors,N/A,N/A
Aswa Developers & Contractors Ltd,N/A,0728595454
Batton Contractors,N/A,N/A
Bechake Contractors,N/A,0722709097
Betech Contractors Ltd,N/A,0722854175
Billdock Enterprises & Contractors Ltd,N/A,N/A
Citrolam Contractors,citrolamcontractors@yahoo.com,0722170078
Dikus Young Contractors,N/A,N/A
Dowell Contractors,N/A,0722813414
Eco Brains Contractors,mathaimuriithi@gmail.com,0710842717
Exdamum Developers & Contractors Ltd,davetronics2010@yahoo.com,0720811454
Ezmat Contractors Ltd,festus@ezmat.co.ke,0708356733
Gichocho Building Contractors,N/A,N/A
Jina Ratna Contractors,N/A,N/A
Kabco Contractors Ltd,kabcocontractors@yahoo.com,0722897800
Kabuito Contractors Ltd,N/A,N/A
Kemeric Gemral Contractors,N/A,N/A
Ken-Trucks Contractors - Africa Co.ltd,shem@gmail.com,0721854596
Kiarigi Building Contractors,N/A,N/A
Koweru Contractors Ltd,N/A,0736937303
Lennox Contractors Ltd,N/A,0725209998
Lexis Contractors Stop Ltd,N/A,0724874686
lnterspan Contractors Ltd,N/A,0716786152
Logitec Contractors Ltd,N/A,N/A
Magnifica Contractors Ltd,N/A,0737712325
Maridadi Building Contractors Ltd,N/A,N/A
Mipac Contractors & Steel Works Limited,N/A,0722347975
MMG Building Contractors,N/A,0721392639
Mogaya Contractors Ltd,N/A,0728974192
Nakara Building Contractors,N/A,0723312904
Nejo Contractors,N/A,N/A
New Crystal Clear Contractors Ltd,N/A,0722451474
Optimalbuild Contractors,N/A,0709747282
Rotunda Contractors Ltd,rotundacontractors@gmail.com,0720360088
Sambuka Contractors Ltd,sambukacontractors2017@gmail.com,0721140626
Single- line Contractors,N/A,0722267456
Super Contractors Ltd,N/A,0733601366
Suraj Contractors Ltd,N/A,N/A
Trapoz Contractors Ltd,N/A,N/A
Uken Contractors (E.A) Ltd,N/A,0722938993
Vakkep Building Contractors Ltd,N/A,N/A
Valji Karsan Contractors,N/A,N/A
Witsman Contractors Ltd,N/A,0722658198
Fasmiqam Contractors,N/A,N/A
Hevicon Contractors,N/A,N/A
Falcon Road Contractors,N/A,N/A
Maji Tech Contractors,N/A,N/A
Nationwide Planners Contractors & Associates Ltd,nationwideplanners@gmail.com,0722603599
Aradam Contractors Ltd,N/A,N/A
Archteck Contractors Co. Ltd,N/A,0731923775
Ayugi Contractors Ltd,ayugicontractors@gmail.com,0721809505
Bataung Seboko Contractors,N/A,0724879731
Bin Masood Contractors Ltd,N/A,0722277770
Boslika Building Contractors,N/A,N/A
Bowen Building Contractors,N/A,N/A
Chelini Contractors Ltd,chelinicontractors@yahoo.com,0725921255
Ekero Building Contractors,N/A,N/A
Electro Field Contractors,N/A,N/A
Filiad Contractors,N/A,0729958225
Go Contractors Ltd,N/A,N/A
Jakim Contractors Ltd,N/A,0720822910
Jimrose Building Contractors,N/A,0721644223
Mount Olive Contractors Ltd,N/A,0737250144
Multi-Arch Contractors Ltd,N/A,0731566388
Njanjo contractors,N/A,0722420834
Nyawambi Buildcive Contractors,jobogola@yahoo.com,0716873918
Presion Electrical Contractors,N/A,N/A
Tark Contractors,N/A,N/A
Westcon Contractors Ltd,info@westcon.co.ke,0722292750
Accrow Supplies Ltd,jaspalbirdi2002@yahoo.com,0774136616
Air Techniques Ltd,N/A,0721247905
Airplus Cooling Systems & Electrical Contractors Limited,airpluscooling@yahoo.com,0706185590
Alfatech Contractors Ltd,N/A,0790563824
Anil Building Contractors,N/A,N/A
Avcon Contractors Ltd,info@avcon.co.ke,0741454266
Baldon Construction And General Engineering Co.,baldoneng@gmail.com,0735725222
Behiv Contractors Ltd,behiv1@gmail.com,0723972135
bella line interior contractors,N/A,0712748285
Bellaline Interior Contractors Ltd,bonlilah@yahoo.co.uk,0712748285
Beulah Contractors & Transporters,N/A,N/A
Burhani Decorators & Contractors Ltd,mohtkb@yahoo.com,0722911786
Chance Aluminium & Glassmart Contractors Ltd,chancealuminium@gmail.com,0727703820
City General Hydraulics Engineering,citygeneralhydraulics@gmail.com,0725785635
Conforce Renovation Contractors,N/A,N/A
Daniel & James Contractors Ltd,jmsngugikimani@gmail.com,0721152008
Dunhill Building Contractors Ltd,N/A,N/A
East African Contractors Ltd,N/A,N/A
Eleven Contractors Ltd,N/A,0726662449
Elgeo Ultimate Contractors,N/A,0724776159
Emeda suppliers and contractors,N/A,0728178487
Evasound Contractors Ltd,evasoundcontractorsltd@yahoo.com,0720030636
Ezemak Refrigeration & Contractors Ltd,N/A,0722241747
FarVision Electrical Contractors,farvisionelectricalcontractors@gmail.com,0722651774
Fatom Building Contractors,N/A,0721282182
FenceTech Contractors Ltd,N/A,0728466746
G. Putton Contractors Ltd,N/A,0728602435
Gateri Contractors Limited (GCL),info@gatericontractors.co.ke,0725627392
Gathiga Contractors,gathiga@gmail.com,0722784006
General Engineering Works Ltd,N/A,0722515341
Gititu Construction Co Ltd,N/A,0733609956
Jasimberg Agencies & Contractors,N/A,N/A
Jishindie Contractors & Suppliers,N/A,N/A
Jongonga Contractors,info@jongongacontractors.co.ke,0711746379
Kalalu Building Contractors Ltd,info@kalalubuildingcontractorsltd.com,0722504086
Kalalu Building Contractors,jmkalalu@yahoo.com,N/A
Kandi Contractors,N/A,N/A
Kasho Contractors & Supplies Company Ltd,N/A,0712330330
Kijana Contractors,N/A,N/A
Kimanga Contractors,N/A,N/A
Lewison Builders And Contractors Ltd,N/A,0717944017
Magnate Builders & Civil Contractors,N/A,N/A
Multipurpose M Contractors,N/A,N/A
Mwamu Contractors,N/A,0721957634
Ngovi Signs & General Engineering Supplies,N/A,0716905979
Njowagi Contractors,wambui.g12@gmail.com,0720596188
Noor & Chouhan Electrical Contractors,N/A,N/A
Norwood Interior Design Contractors,norwoodinteriorde@yahoo.com,0727380863
Oris & Sons Contractors Ltd,info@orisconstructions.co.ke,0724905620
Osmack Building Contractors,jackson.osolo@yahoo.com,0724263159
Pafres Contractors,pafrescontractors2000@yahoo.com,N/A
Pelican Haulage Contractors Ltd,info@Pelicanhaulage.co.ke,N/A
Pestfree & Sanitation Contractors,pestsanitation@yahoo.com,N/A
Phoenix Decorators & Contractors Ltd,N/A,N/A
Prime-Kraft Contractors,info@primekraft.co.ke,0706540400
Put Sarajevo General Engineering Co.,kenput@mitsuminet.com,N/A
Rajwa Building Contractors,N/A,N/A
Rattansons Building Contactotrs Ltd,N/A,N/A
Refrigeration Components Ltd,N/A,0700786300
Refrigeration Contractors Ltd,N/A,0736786300
Rokim General Engineering,kimanick@yahoo.com,0722353745
Samphil Engineering & General Works,N/A,N/A
Savoy Contractors Ltd,N/A,N/A
Setto Glass Contractors Ltd,settoglass@yahoo.com,0721290005
Sigama Building Contractors,sigamabuidingcontractors@gmail.com,0721243505
Sim Building Contractors,N/A,0722309309
Somal Builders & Contractors Ltd,somalbuilders@gmail.com,0722597010
Spearship Contractors Ltd,N/A,N/A
Spellman Contractors Limited,spellmancontractorsltd@gmail.com,0723701421
Square M Contractors Ltd,N/A,N/A
Standard Electrical Contractors Ltd,N/A,N/A
Swiss Corporate Interiors,N/A,0727111777
Traux Electrical Contractors,trauxel@yahoo.com,0721996080
Trax Boilers & General Engineering Ltd,traxboilers@yahoo.com,0722214793
University Contractors,N/A,N/A
Warren Enterprises Ltd,purchasing@warren-kenya.com,0724256552
Westleigh Eng Contractors,N/A,N/A
Fast Track General Engineering,charlesmachugu@gmail.com,0720371848
Kadungo Ship Contractors,N/A,0733701739
Kenya Marinas Ltd,kml@wananchi.com,0723223746
Kenya Marine Contractors Ltd,N/A,0733316776
Kenya Ship Contractors Association,N/A,N/A
Masnot Contractors (E.Africa),N/A,N/A
Mbarak Pit Contractors,alimbarak@mbarakpitcontractors.co.ke,0733555355
Mbiti Contractors,N/A,0714878466
Mwarusi Contractors,N/A,0724768856
Tandaza Contractors,N/A,N/A
Amogracia Contractors,N/A,N/A
Jagir Sigh Contractors,N/A,N/A
Jagir Singh Contractors Ltd,N/A,N/A
RIVELCO - Rift Valley Electrical Contractors Ltd,N/A,0722530184
Velco Electrical Contractors,N/A,N/A
Alco Contractors Ltd,N/A,0720455555
Benman Contractors,N/A,0722434441
Bomco Building Contractors Ltd,N/A,N/A
C M Steel Erectors & G B Contractors,N/A,N/A
Channan Agricultural Contractors Kenya Ltd,N/A,0722717230
Chezignen Contractors,N/A,0720222696
Chezignen Contractors,N/A,0720222696
Cirago Building Contractors Ltd,ciragocontractors@yahoo.com,0724675510
Convenient Building Contractors,N/A,N/A
Domsons Contractors Ltd,domsonscontractors@gmail.com,0770176200
Elvi General Engineering & Supplies Ltd,N/A,0722315704
Enok Transporters & Contractors Ltd,N/A,N/A
Famous Irura Building Contractors,iruraisaac3@gmail.com,0722719051
Farm Base Contractors & Electrical,N/A,N/A
Gulf Gen. Contractors,N/A,N/A
Inex Metal Fabricators & General Engineering,N/A,0716830403
Kagai Plumbers and Contractors,N/A,0717560362
Ken Contractors & Suppliers Ltd,kencontractors@outlook.com,0734708371
Kihanya Ship''s Contractors Ltd,kihanyaships@yahoo.com,0733828724
Labtech Contractors,N/A,N/A
Laxmi Hardware & Contractors Ltd,info@laxmi.co.ke,0717555889
Maperi Contractors Ltd,maperi2005@yahoo.com,0728350700
Maru Piling & Geotechnical Contractors Ltd,N/A,0733722633
Matungu Contractors,N/A,N/A
Mbira Contractors Limited,N/A,N/A
Miira Building Contractors Ltd,N/A,N/A
Mjengo B Contractors & Transporters Balast Manufacturers,N/A,N/A
Modern Coast Builders & Contractors Ltd,N/A,0722206423
Nakuru Plumbing & Building Contractors,N/A,0722828843
Ndaba Electrical Goods Supply & General Engineering,N/A,0733434152
Njawama Contractors,N/A,0726409986
Orok Building Contractors,N/A,N/A
Panafric Electrical Contractors Ltd,aflaahm@yahoo.com,0722411675
Sabaki Contractors & Supplies Ltd,N/A,N/A
Saimbot ship’s contractors Ltd,info@saimbot.com,0722388954
Scomaco Contractors,N/A,0703277567
Silverbells Contractors & Suppliers Ltd,N/A,0710474650
Sintora Contractors,sintoracontractorsksm@gmail.com,0725470547
Soskah Building Contractors,N/A,N/A
Spear''s Ship Contractors Ltd,N/A,0725348101
Stroika Contractors Ltd,N/A,0720746323
Talewa Road Contractors Ltd,N/A,N/A
Unbeaten Contractors & Supplies,N/A,N/A
Wamu Glass Contractors,N/A,0727109429
Wamwaki Electrical Contractors,N/A,0722566537
Wegco Electrical Contractors,N/A,N/A
Smec Kenya,kenya@smec.com,N/A


TARGET URL: https://www.yellowpageskenya.com/business-category/Confectionery%20&%20Candy
Company Name,Email,Mobile
Mars Wrigley Confectionery Kenya Ltd,N/A,0709802000
Bakery Confectionery Food Manufacturing & Allied Workers Union,bakers@kenyaweb.com,0722463092
Kalee Confectionary Ltd,N/A,N/A
Nairobi College of Bread & Confectionery Technology (NCBCT),info@bakeryschool.co.ke,0722237181
Nice Bakery & Confectionery,N/A,N/A
Paul''s Bakery & Confectionery Ltd,N/A,N/A
Valley Confectionery Ltd,N/A,0722206555
Candy (K) Ltd,N/A,0721830780
Candy Land Ltd,candyland2008@hotmail.com,0724020289
Kigaki Candy Shop,kigakaenterprises@gmail.com,0721702184
Kenafric Industries Ltd,N/A,N/A
Bluefield Traders,bluefra@yahoo.com,0721554060
Candy & Candy Clean Services,candycanclean@gmail.com,0721738122
Candy fashion house,N/A,0724581452
Candy n Candy Records,N/A,N/A
Candy Ross Graphic Designers,N/A,0713364095
County Candy Shop,N/A,N/A
Cute Candy Shop,N/A,0722171288
Dye Craft Candy Shop,N/A,0711562671
Flame Tree Candy Shop,N/A,N/A
Karura Products,N/A,N/A
Kenya Sweets Ltd,N/A,0725575575
Lillies Candy Shop,N/A,0700936485
Mary Wangari Snacks,N/A,0712916607
Milan Pan House,N/A,0725060267
Patco Industries Ltd,patco@africaonline.co.ke,0722624867
Pearl Industries Ltd,N/A,0735915815
Shabana Cold House,N/A,N/A
Soko Sweety Ltd,N/A,N/A
Sweet Centre Ltd,N/A,N/A
Sweety Sweets Ltd,N/A,N/A
Tana Candy Shop,N/A,N/A
Tausi Cake & Candy Shop,N/A,N/A
Thairora Enterprise Ltd,N/A,N/A
Thakker Sweets,N/A,0722423356
Visions Points Bakers & Confectioners,gracegichinm@gmail.com,0724429488
"Wrigley Co (East Africa) Ltd, The",infokenya@wrigley.com,0730998000
Bhagwanji Foods Ltd,bhagwanjifoods@yahoo.com,0722449539
Mombasa Sweet Mart,N/A,0722803844
Mzuri Supplies,N/A,N/A
Nakuru Sweet Mart,N/A,N/A
Bakers Joint Ltd,N/A,0722411988
Dilkush Sweets,N/A,N/A
Jaydev Confectioners,N/A,N/A
Moon Industries Ltd,N/A,N/A
Mzuri Sweets Ltd,N/A,0722674022
Swan Industries Ltd,jojo@swan.co.ke,N/A
Sweet Hut,N/A,0706301734
Virani Industries Limited,N/A,N/A
Wheatbee Limited,wheatbeelimited@gmail.com,0725292303


TARGET URL: https://www.yellowpageskenya.com/business-category/Casinos
Company Name,Email,Mobile
Bollywood Casino,N/A,0714606937
Palm Regency Casino,N/A,0722791319
Sunrise Casinos,sunrisejunction@sunrisecasino.co.ke,0706566888
Babylon Casino,babyloncasino@gmail.com,0714606936
Blooming Stars Ltd,N/A,0733832130
Captains Club Casino,N/A,0701707504
Casino Flamingo,hr@casino-flamingo.co.ke,0712007777
International Casino,N/A,N/A
Joker''s Wild Casino,jokerscasino@gmail.com,0720652186
Jumbo Jackpot (K) Ltd,N/A,N/A
Las Vegas Casino,N/A,0727121092
Magic Slots Ltd,N/A,0111050670
Mega Management Ltd,N/A,N/A
Regency Slots Ltd,N/A,0726334107
Resort Kenya Ltd,N/A,0724255400
Golden Key Casino,goldenkenyacasino@terminal.co.ke,0772053037
Play Boy Casino,N/A,N/A
Casino Malindi,N/A,0727667331
Casinomax,moorgateltd@gmail.com,0715881895
Casinoroco,info@casinomalindi.com,0711852087
Malindi Management Strategy Ltd,info@casinomalindi.com,N/A


TARGET URL: https://www.yellowpageskenya.com/business-category/Concrete%20Contractors
Company Name,Email,Mobile
Vishva Builders Ltd,vishvaeld@yahoo.com,0722244841
Architect Suji Associates,sujiarch@yahoo.com,0729712802
Eco Brains Contractors,info@ecobrainscontractors.co.ke,0710842717
Kiburu Enterprises Ltd,info@kiburugeneralcontractors.com,0722827607
Motalent Construction Ltd,motalent@iconnect.co.ke,0722828515
Precise Peace Enterprises,info@precisepeaceenterprise.co.ke,0721226875
Shiv Construction Co Ltd,info@shivconstruction.co.ke,0721911791
Silicon Electric Company Ltd,sielco.ltd@gmail.com,0725678005
Silverbeam Construction Ltd,N/A,0714415588
Skynicrobuilders Ltd,skynicrobuilders254@gmail.com,0742310678
Tenderi Talents Co. Ltd,tenderitalent@gmail.com,0721205491
Raerex (E.A) Ltd,info@raerex.co.ke,0722388398
Astro Fire & Safety Kenya,astrofire2012@gmail.com,0724440055
Branton Safety & Fire Appliances,brantonsafety@yahoo.com,0712913638
Finework Kenya Ltd,info@finework.co.ke,0746776040
Fire Masters Appliances Ltd,firemastersco.kenya@gmail.com,0724386202
Firefox (K) Ltd,sales@firefoxkenya.co.ke,0709622000
Firetech Engineering Co. Ltd,sales@firetech.co.ke,0716850781
Pinnace Safety Solutions,safetysolutionspinnacle@gmail.com,0714415588
Pristine HYDRO Solutions,info@pristinehydrosolutions.co.ke,0710490871
Alliance Concrete,N/A,0729999557
Kera Quarry Concrete Co,N/A,N/A
Concrete Suppliers,N/A,N/A
Tebere Concrete Co Ltd,N/A,0722872002
Aristocrats Concrete Ltd,N/A,0733609850
Concrete Consultants,N/A,0733968667
Express Concrete Works,expresscltd@gmail.com,0722781433
Kenya Builders & Concrete Co Ltd,N/A,0722205122
National Concrete Ltd,N/A,0722764097
Rhombus Concrete Ltd,info@rhombusconcrete.com,0717900900
Urban Concrete Works Ltd,N/A,0731885910
Warren Concrete Ltd,info@warrenconcreteltd.com,0723333312
Halai Concrete Quarries,vinuhalai@hotmail.com,0722805932
Kisumu Concrete Products Ltd (KCP),N/A,0700350955
Lyant Precast Concrete Works,N/A,0735815653
Reliable Concrete Works Ltd,N/A,0704480248
Unique Concrete Builders,N/A,0715693143
Aberdares Engineering Contractors Ltd,aecontractors@mailservice.ms,0724591531
Accrow Supplies Ltd,jaspalbirdi2002@yahoo.com,0774136616
Air Techniques Ltd,N/A,0721247905
Airplus Cooling Systems & Electrical Contractors Limited,airpluscooling@yahoo.com,0706185590
Alfatech Contractors Ltd,N/A,0790563824
Alikim Painting Contractors,N/A,0712224830
Anil Building Contractors,N/A,N/A
Ashanta Marble Contractors,N/A,N/A
Associated Building & Civil Engineering Contractors,N/A,N/A
Aswa Developers & Contractors Ltd,N/A,0728595454
Avcon Contractors Ltd,info@avcon.co.ke,0741454266
Batton Contractors,N/A,N/A
Bechake Contractors,N/A,0722709097
Behiv Contractors Ltd,behiv1@gmail.com,0723972135
bella line interior contractors,N/A,0712748285
Bellaline Interior Contractors Ltd,bonlilah@yahoo.co.uk,0712748285
Bepah Builders & General Contractors Ltd,bepahcontractors@gmail.com,0726864866
Betech Contractors Ltd,N/A,0722854175
Beulah Contractors & Transporters,N/A,N/A
Billdock Enterprises & Contractors Ltd,N/A,N/A
Bosco General Contractors Ltd,N/A,0720903133
Bramuse General Contractors,brianomuse@gmail.com,0728141111
Brilliance Plumbing and General Contractors,brillianceplumbers@gmail.com,0722377719
Burhani Decorators & Contractors Ltd,mohtkb@yahoo.com,0722911786
Chance Aluminium & Glassmart Contractors Ltd,chancealuminium@gmail.com,0727703820
Charles Njuguna General Contractors,N/A,0722733382
Citrolam Contractors,citrolamcontractors@yahoo.com,0722170078
City Landscapes & General Contractors Ltd,citylandscapes2014@gmail.com,0712780666
Conforce Renovation Contractors,N/A,N/A
Cowford General Contractors Ltd,N/A,N/A
Crown General Contractors Co,N/A,N/A
Daniel & James Contractors Ltd,jmsngugikimani@gmail.com,0721152008
Dikus Young Contractors,N/A,N/A
Dowell Contractors,N/A,0722813414
Dunhill Building Contractors Ltd,N/A,N/A
East African Contractors Ltd,N/A,N/A
Eleven Contractors Ltd,N/A,0726662449
Elgeo Ultimate Contractors,N/A,0724776159
El-Noor General Contractors Limited,N/A,N/A
Emeda suppliers and contractors,N/A,0728178487
Evasound Contractors Ltd,evasoundcontractorsltd@yahoo.com,0720030636
Exdamum Developers & Contractors Ltd,davetronics2010@yahoo.com,0720811454
Ezemak Refrigeration & Contractors Ltd,N/A,0722241747
Ezmat Contractors Ltd,festus@ezmat.co.ke,0708356733
FarVision Electrical Contractors,farvisionelectricalcontractors@gmail.com,0722651774
Fatom Building Contractors,N/A,0721282182
FenceTech Contractors Ltd,N/A,0728466746
Furse Electrical And General Contractors Limited,N/A,N/A
G. Putton Contractors Ltd,N/A,0728602435
Gateri Contractors Limited (GCL),info@gatericontractors.co.ke,0725627392
Gathiga Contractors,gathiga@gmail.com,0722784006
Gichocho Building Contractors,N/A,N/A
Gititu Construction Co Ltd,N/A,0733609956
Goodkiay General Contractors,N/A,N/A
Goodway General Contractors Ltd,goodway.contractors@gmail.com,0722705940
Hardy General Contractors Ltd,hardy_cont@yahoo.com,0722773735
Houseman General Contractors Ltd,N/A,0722706705
Jasimberg Agencies & Contractors,N/A,N/A
Jedy General Contractors Ltd,jedycontractors@gmail.com,0722425762
Jina Ratna Contractors,N/A,N/A
Jishindie Contractors & Suppliers,N/A,N/A
Jongonga Contractors,info@jongongacontractors.co.ke,0711746379
Josswa Plumber & General Contractors,jpkiruti@yahoo.com,0722351582
Jupiter Electrical and General Contractors Ltd,info@jupiter.co.ke,0722661886
Kabco Contractors Ltd,kabcocontractors@yahoo.com,0722897800
Kabuito Contractors Ltd,N/A,N/A
Kalalu Building Contractors Ltd,info@kalalubuildingcontractorsltd.com,0722504086
Kalalu Building Contractors,jmkalalu@yahoo.com,N/A
Kandi Contractors,N/A,N/A
Kasho Contractors & Supplies Company Ltd,N/A,0712330330
Kemeric Gemral Contractors,N/A,N/A
Ken-Trucks Contractors - Africa Co.ltd,shem@gmail.com,0721854596
Kenya Association of Building And civil Engineering Contractors,N/A,0724568324
Kiarigi Building Contractors,N/A,N/A
Kijana Contractors,N/A,N/A
Kimanga Contractors,N/A,N/A
Koweru Contractors Ltd,N/A,0736937303
Lenitech General Contractors,N/A,0720680979
Lennox Contractors Ltd,N/A,0725209998
Lewison Builders And Contractors Ltd,N/A,0717944017
Lexis Contractors Stop Ltd,N/A,0724874686
Lirona General Contractors Ltd,lironacontractors@gmail.com,0722836672
lnterspan Contractors Ltd,N/A,0716786152
Logitec Contractors Ltd,N/A,N/A
Magic General Contractors Ltd,N/A,0714701507
Magnate Builders & Civil Contractors,N/A,N/A
Magnifica Contractors Ltd,N/A,0737712325
Magnum Engineering & General Contractors Ltd,info@magnum.co.ke,0700091352
Maridadi Building Contractors Ltd,N/A,N/A
Mipac Contractors & Steel Works Limited,N/A,0722347975
MMG Building Contractors,N/A,0721392639
Mogaya Contractors Ltd,N/A,0728974192
Multipurpose M Contractors,N/A,N/A
Mwamu Contractors,N/A,0721957634
Nakadar General Contractors,N/A,N/A
Nakara Building Contractors,N/A,0723312904
"Ndumberi General Merchants,Building Contractors & Civil Engineering Ltd",N/A,N/A
Nejo Contractors,N/A,N/A
New Crystal Clear Contractors Ltd,N/A,0722451474
Njowagi Contractors,wambui.g12@gmail.com,0720596188
Noor & Chouhan Electrical Contractors,N/A,N/A
Norwood Interior Design Contractors,norwoodinteriorde@yahoo.com,0727380863
Okapi Suppliers & General Contractors Ltd,info.okapi@gmail.com,N/A
Optimalbuild Contractors,N/A,0709747282
Oris & Sons Contractors Ltd,info@orisconstructions.co.ke,0724905620
Osmack Building Contractors,jackson.osolo@yahoo.com,0724263159
Pafres Contractors,pafrescontractors2000@yahoo.com,N/A
Pelican Haulage Contractors Ltd,info@Pelicanhaulage.co.ke,N/A
Pestfree & Sanitation Contractors,pestsanitation@yahoo.com,N/A
Phoenix Decorators & Contractors Ltd,N/A,N/A
Prime-Kraft Contractors,info@primekraft.co.ke,0706540400
Rajwa Building Contractors,N/A,N/A
Rattansons Building Contactotrs Ltd,N/A,N/A
Refrigeration Components Ltd,N/A,0700786300
