Company Name,Email,Mobile
Nealpama Real Estate Ltd,N/A,0796508600
Three -D real estate,N/A,0722857831
Udel Real Estate Ltd,N/A,0717266919
Real Houzes,N/A,0714354805
Real Time Agency,N/A,0728829871
Sunland Real Estates Ltd,marketing@sunland.co.ke,0737100875
Nile Real Apparaisers,mombasa@nilereal.com,0793700888
Real Care Properties,N/A,0721910036
Golden Real Properties,N/A,N/A
Real Hope Property Management,j.njuguna@yahoo.com,0724872222
Xamito Real Estates,info@xamito.co.ke,0792367787
Absolute Estate Agents,N/A,0720688181
Brooks Estate Agents Ltd,N/A,N/A
Tumaini Land and Estate Agents,mbuguasamu@gmail.com,0726895748
Kalimbula Estate Developers Co. Ltd,kalimbuladevelopers@yahoo.com,0725530095
Belasi Developers,info@belasidevelopers.co.ke,0708200920
Benchamark Valuers Ltd,N/A,0715348755
Capital Valuers Ltd,capitalvaluers2000@gmail.com,0723140471
Centenary Valuers Ltd,N/A,0722725057
County Home Developers,N/A,0702523116
Dellcreek Developers ltd,dellcreekltd@gmail.com,0715731111
Dreamscape Valuers Ltd,dreamscapevaluers@yahoo.co.uk,0711113497
High Velocity Developers,highvelocityproperties@gmail.com,0721633467
Home Afrika Ltd,N/A,0716802070
Home Care Estate Agencies,N/A,0720365635
HomeChap Estate Agency,N/A,0718198715
Key Signature Developers,N/A,0792291533
Kings Developers Ltd,info@kingsdevelopers.com,0716567345
Lettas Developers,info@lettas.co.ke,0722308885
MakaoPlus Properties,N/A,0705333222
Milestone Developers Ltd,N/A,0722790290
Mureithi Valuers Ltd,N/A,0705854698
My Crib,N/A,0726047048
Njega Developers Ltd,gtm2002us@yahoo.com,0721752817
Paramount Chief Estate Ltd,info@pcel.com,0712288835
Pson Property Agents,N/A,0724860586
Rohi Estate Management,pmutwiwa@yahoo.com,0722449055
Royal Land Surveyors & Property Valuers,N/A,0722525460
Scheme Developers Limited,info@schemedevelopers.com,0720852338
Shark Villas Estate,N/A,0792565054
Signature Developers Ltd,N/A,0735707707
Spartan Developers Ltd,N/A,0725797001
Sterling Valuers,N/A,0723151805
Tuliflocks Valuers Limited,N/A,0722816207
Bristem Developers,N/A,0710510026
Circuit Valuers & Management Consultants,N/A,0722707126
Ideal Property Developers Ltd,idealpropertyprojects@gmail.com,0702111777
Impala Developers Ltd,info@impaladevelopers.com,0740467252
Mevian Estate Realtors,mevianrealestate@gmail.com,0772748534
Muselele Developers Ltd,md@museleledevelopers.co.ke,0722219779
Nikanini Estate,N/A,N/A
Top Mark Property Valuers Ltd,N/A,N/A
Amali Properties Agency,N/A,0745321611
Bridge Commercial Agencies Ltd,info@bridgecommercial.co.ke,0721723895
Buyrent Shelters,N/A,0773084542
Aarkan Properties,N/A,0718763704
Abacus Property Ltd,N/A,0786272000
Abdi''s World Group of Companies,N/A,0791803921
Accra Plaza Business Centre,N/A,0722511503
Acute Realtors Ltd,acute.realtors@gmail.com,0722601404
Adasca Agencies,propertiesadasca@gmail.com,N/A
Adept Realtors Ltd,N/A,0702215115
Adris Property Consultancy,adrisproperties@gmail.com,0720677208
Aecare,N/A,0725575234
Afrihome Solutions Limited,N/A,0706801784
Afrique Properties,N/A,0728793131
Airmen Agencies,N/A,0796678691
Ajogi East Africa Estates Ltd,N/A,0718900208
Al_Jamana Agency Ltd,N/A,0708993333
Alkaki Overseas Recruiting Ltd,N/A,0722236648
Althaus Services Ltd,info@westgate.co.ke,0780557775
Amaiya by Mi Vida,info@mividahomes.com,0722123000
Amanda Homes Ltd,N/A,0721438777
Amazing Land Investment,amazinglandinvestment@gmail.com,0736293725
AMG Realtors,sales@amgrealtors.com,0706859871
Anchor Property Consult,N/A,0733239383
Andkin Agencies,N/A,N/A
Anfield Holdings Ltd,N/A,0731212144
Asriland Agencies,afriland5@yahoo.com,0715750700
Axis Assets Ltd,arthka@gmail.com,0736741600
Azizi Realtors Ltd,sales@azizirealtors.co.ke,0703790095
Bace Systems Construction,afri.link@yahoo.com,0722308943
Baita Trading Company,info@baitatrading.co.ke,0708484862
Balis Properties,basilproperties@gmail.com,0722931254
Banda Homes,N/A,0713202521
Baobab Development Group Ltd,info@theafricancollection.net,0722888779
BBDO,N/A,0718589269
Beltway Enterprises,N/A,N/A
Bemwa Realtors Ltd,N/A,0722744062
Bestcare Property Cosultants,info.bestcare@yahoo.com,0722462882
Bethel Business Centre,competencedc@gmail.com,0738607558
Biashara Development Ltd,N/A,0732709000
Bien Properties,bienpropertyconsultants@gmail.com,0702032724
Bluebell Properties Ltd,N/A,0739269911
Bora Capital Ltd,famo@boracapital.com,0722407206
Bora Ubora Ltd,karuna@karuna.co.ke,N/A
Brevilla Properties Co. Ltd,N/A,0722949864
Brickmann,N/A,0724540001
Bright Options Management Services,michealmunene@yahoo.com,0722607783
Broadspect Invest Ltd,N/A,0705033716
Broll Kenya Ltd,N/A,0712668448
Bushline Properties Co Ltd,N/A,0705111000
Buyrentkenya.com,N/A,0738543879
Canaan Properties Ltd,lmosa@canaanproperties.org,0733861710
Capital Realty Ltd,N/A,0726248537
Capitaland East Africa Limited,rogersobure@capitaland.co.ke,0711430274
Capstone Care Management,capstonecare@yahoo.com,0734639092
Casamia Restaurant,N/A,0718899741
Centrum Properties Agency,info.centrumproperties@gmail.com,0722484947
Citi Homes Ltd,N/A,0718030567
CMT Realtors Ltd,N/A,0710870942
Cocoon Studio Ltd,N/A,0733575777
Coldwell Banker Kenya,info@coldwellbanker.co.ke,0724119800
Compound Ltd,compound_mgts@yahoo.com,0725685290
Crystal Afrique Ltd,info@crystalafric.co.ke,0733282832
Crystal Court,N/A,0742895056
Danco Ltd,N/A,0722609004
Deetomark Properties Ltd,info@deetomark.co.ke,0737633670
Delta Homes Ltd,N/A,0725705611
Diamond City Villas,N/A,0711443762
Diamond Park Ltd,diamPark@yahoo.com,0721625664
Dofra Solutions,N/A,0720658764
Easy Properties Ltd,N/A,N/A
Eco-Ethics & Development Ltd,N/A,0722778930
Ekco Investments Ltd,N/A,N/A
Elegant Homes Ltd,N/A,0703844008
Elite Ridge Realtors,N/A,0722831504
Elsie Ridge,N/A,0723477193
Emerald Services Ltd,N/A,0722887009
Explananda Consult Ltd,N/A,0725993994
Face-Saver Enterprises Ltd,facesaverltd@gmail.com,0722816073
Fairdeal Development & Infastructure Ltd,N/A,0774776477
Finelands Holdings Ltd,finelandsholdings@yahoo.com,0724816611
Firmus Realtors,N/A,0700001356
Fortune Properties Ltd,N/A,0733128000
Fortune Realtors Ltd,info@fortuneraltors.co.ke,0727988116
Gamar Investments,gamarinvestments@yahoo.com,0722472439
Gap bridge properties,N/A,0707718224
Gedi Homes,N/A,0722988988
Gichohi Investments Ltd,N/A,0719679297
Gigiri Shopping Centre Ltd,N/A,0775550923
Global Negotiators & Advisory,gna.co.ke@gmail.com,0712406060
Golden Reeds Properties,info@goldenreedsproperties.co.ke,0702444111
Goldstone Properties,goldstoneproperties@live.com,0722533244
Grajowa Enterprises Ltd,N/A,0728304665
Grand Group International,N/A,N/A
Grand Villa Properties,N/A,0724070508
Grapa Ltd,pngatia2000@yahoo.com,0707752547
Green Oak Ville Flat Services,greenoakville@yahoo.com,0728333445
Guardian Homes Ltd,guardianhomesltd@gmail.com,0721562293
Habitat Innovations Ltd,habitatinnovations@gmail.com,0733500670
Habitat Realtors International Ltd,info@habitatrealtors.co.ke,0709746253
Hadhi Homes Ltd,kabuguak@gmail.com,0712999555
Hayer One Group,N/A,0721399399
Henley Green Realtors,N/A,0722241188
Hillside Homes Ltd,N/A,0720330073
Home & Lifestyles Ltd,N/A,0722609422
Homeline Realtors Ltd,maxwellkaduki@homelinekenya.com,0722891925
Homeplus Realtors Ltd,N/A,0718872704
Homeward Agencies Ltd,N/A,0751201267
Homexperts Ltd,N/A,0739453609
Hope Realty Holdings Ltd,hope2012@yahoo.com,0735696835
House & Homes Co. Ltd,info@houseandhomes.co.ke,0799448800
Houses Homes Kenya,houseshomes1@gmail.com,0718544361
Housing Solutions International Ltd,N/A,0725350601
Hpd Construction & Interiors Ltd,N/A,0722888721
Ibounty Investment Co Ltd,N/A,0728986127
iJenga,N/A,0740845000
Ikulu Homes,N/A,0770652507
Imperial Housing Ltd,N/A,0703758015
Imperial World Ventures,N/A,0722565668
Infinity Development,info@infinitydevltd.com,0701898752
J.M Investment,N/A,0720106323
Jaffery Investment Ltd,N/A,0736791152
Jagafam Enterprises Limited,erraph@yahoo.com,0725497298
Jareehtech Electronics,jareehtech1@gmail.com,0704249000
Jekmas Services,jekmass@yahoo.com,0722837700
Jesma Holdings Ltd,N/A,0728124565
Jestrim Properties,jestrimproperties@gmail.com,0738553461
JHI Property Services,N/A,N/A
Jimwa Properties Ltd,N/A,0722656344
Johali Ltd,N/A,0725107087
Jomartah Company Ltd,jomartahlimited@gmail.com,0735128014
Jomwa properties,N/A,0718764106
Josmo Agencies,info@ja.co.ke,0708293766
Juefelent Recruitment Agency,jobs@juefelent.com,0721975245
K K Realtors,N/A,0736112114
Kabuku Realty Co.Ltd,karuna@karuna.co.ke,0716430999
Kaiwi Agencies Ltd,N/A,N/A
Kam Home Investments,Info@Kamhomes.Com,0720339884
Kapa Homes Ltd,N/A,0723201688
Karengata Property Managers,karengataproperty@gmail.com,0735099932
Kasha Properties Ltd,N/A,0725369092
KaziQuest Ltd,N/A,0719638274
Kenya Classic Homes,info@kenyaclassichomes.com,0723308663
Kenya Home Solutions Ltd,N/A,0728871862
Kenya Houses Limited,N/A,0725743500
Kenya Medical Properties Ltd,apartments@kma.co.ke,0758733700
Kevangi Agencies,kevinm5020@gmail.com,N/A
Kiambu Dandora Farmers Co.,N/A,0722752448
Kings Collection,N/A,0720558838
Kings-pride Properties,N/A,0712531166
"Kinyanjui, Ambrose M",N/A,N/A
Kisasa Home,N/A,0705555771
Kitongi Investment Ltd,N/A,0722206167
Kwitu Holdings Limited,N/A,0722551606
Land layby Kenya Ltd,N/A,0702145063
Landex Group Ltd,N/A,0702728892
Landplus Properties,N/A,0722373483
La-nyavo Gardens Ltd,N/A,N/A
Late Gate Apartments Ltd,N/A,N/A
LER Ltd,N/A,0733684781
Lesama Ltd,lesama@gmail.com,0719443339
Leychama Agencies,N/A,0722860016
Liberation Property Ltd,N/A,0717379764
Lighthouse Homes Group,N/A,0725751113
Limitline Holdings,N/A,0731141755
Lion of Good Times,N/A,0792532221
Little Legends Ltd,N/A,0733792756
Loita Properties,N/A,0720663255
Lordship Group,sales@88nairobi.com,0712288888
Lustman & Co. Ltd,N/A,N/A
Lynex Holdings Ltd,N/A,0722649781
M & D Homes (K) Ltd,N/A,0721456930
M & M Designs,N/A,0722543683
Madiba Properties Ltd,madibaproperties@gmail.com,0702444555
Mahiga Homes,info@@mahigahomes.co.ke,0746844037
Maisha Afrika Ltd,robinson.mbugua@maishaafrika.com,0701284521
Makarios Holding Ltd,N/A,0726144875
Malivins Properties,malivinsproperties@gmail.com,0708001677
Mancann Properties,kiminda61@yahoo.co.uk,0722972588
Manek Office,N/A,N/A
Mansions,ngima@mansions.co.ke,0721654160
Mansions World Ltd,N/A,0723985331
Manya Property Management Ltd,N/A,0722683139
Manyatta Capital,N/A,0719111191
Mark Property Company Ltd,N/A,0722281752
Mark Stanley Group MSG,N/A,0715664659
Marstud Properties Ltd,N/A,0720936516
Mary''s Kevs,N/A,0722568793
Mawega Company Ltd,mawegasacco@gmail.com,0702965251
Mawega Properties Ltd,N/A,0726862642
Maxima Ventures Ltd,N/A,0715046665
Maxpro Consultants,N/A,0700842997
Mburu Consult Engineering (K) Ltd,N/A,0720774725
Mbwau Investment Ltd,N/A,0738325691
Mehisa Enterprises Ltd,N/A,0721581281
Melsia Management Ltd,N/A,0722638572
Mephine Global Services Ltd,N/A,0721619245
Messimilano Properties Ltd,N/A,N/A
Mihrab Development Ltd (FCB Mihrab),N/A,0706867655
Milbrook Kenya,kenyacomfort@gmail.com,0732608633
Milele Realtors,sales@milelerealtors.co.ke,0791181180
