TARGET URL: https://www.yellowpageskenya.com/business-category/Zippers-Manufacturers%20&%20Distributors
Company Name,Email,Mobile
Horizon Distributors Ltd,N/A,N/A
Huihua Yuandong International Trading Co. Ltd,abnoorm@gmail.com,0712812005
Hydraulic Hoses & Pipe Manufacturers Ltd,N/A,0753497309
Impakt Distributors East Africa,N/A,0726845942
Industrial Distributors Ltd,N/A,N/A
Intercross Agencies Ltd (Makita Sole Distributors),icros@swiftkenya.com,0770378732
Ishano distributors,N/A,0700349410
Jett Wines & Spirits Distributors,N/A,N/A
Joint General Supplies & Distributors,N/A,N/A
Joint Tyres Distributors Ltd,jointtyres79@gmail.com,0722878480
Jonz Spare Distributors,N/A,0721525254
K K Kerosene Distributors Ltd,N/A,N/A
Kalalu Tyre Distributors,N/A,0733247911
Kamba Manufacturing (1986) Ltd,N/A,0773182508
Kariko Distributors,N/A,N/A
Kata Distributors,N/A,N/A
Kato Manufacturers Ltd,ketanshah013@gmail.com,0722294207
Kemta Manufacturers,N/A,N/A
Kenafric Diaries Manufacturers Ltd,amit@kenafricdiaries.co.ke,0722209679
Kenpoly Manufacturers Ltd,N/A,0722723700
Kentasom Distributors,N/A,N/A
Kenya Association of Manufacturers,N/A,0706612384
Kenya Suitcase Manufacturers Ltd,sales@kenyasuitcase.com,0733208684
Kenya Tyres Distributors Ltd,N/A,N/A
Kenyan Electrical Distributors Ltd,kenyanelect@gmail.com,0724411637
Key Link Distributors,N/A,0722570022
Kings Cargo Agencies Ltd,N/A,0724311639
Kings Manufacturers Ltd,N/A,0742418365
Kisumu Banco Manufacturers Ltd,N/A,N/A
Komal Manufacturers Limited,komal_ltd@yahoo.com,0721375247
Lagum Distributors Ltd,N/A,N/A
Legacy Sales & Distributors,justus.mbijiwe@yahoo.com,0722754754
Lesta Tyres & Automart,N/A,0722301317
Life Way Bookshop & Distributors,N/A,0733744731
Lifeway Publisher & Distributors,lifewaypublishers@gmail.com,0710234114
Lima Distributors,N/A,N/A
Limuru Distributors Ltd,N/A,N/A
Makucrafts Furniture Manufacturers,N/A,N/A
Mandrix Distributors,N/A,0722524808
Manflows Suppliers & Distributors,N/A,N/A
Mann Manufacturing Co Ltd,mann@nbnet.co.ke,0720821544
Manufacturers & Suppliers (K) Ltd,N/A,0713634795
Marathon Distributors,N/A,N/A
Marksman Distributors Ltd,N/A,N/A
Mbaki Agric Inputs Distributors Ltd,N/A,N/A
Metal Crowns Ltd,contactus@metalcrowns.com,0722209648
Motor Vehicle Exhibition Bazaar,N/A,N/A
Mufaddal Glass Distributors Ltd,moiz@mufaddalglass.com,0721793573
Mug-Gat Distributors Ltd,N/A,N/A
Multiple Distributors (EA) Ltd,N/A,N/A
Mutema-Uuki Wines & Spirits Distributors Ltd,mutemauukienterprises@gmail.com,0722777092
Nairobi Powertools Ltd,nairobiptools@yahoo.com,0721231396
Natural Stone Tiles,N/A,0789120160
New Oshwal Distributors Ltd,N/A,N/A
Nexol Distributors (K),nexoldistribution@gmail.com,0719761145
Niti Distributors Ltd,niti.citycentre@nitimea.com,0725297117
Njerika Distributors,N/A,0733865677
Olympic Manufacturers Ltd,olympic@wananchi.com,N/A
Oswal Manufacturers,N/A,N/A
Overseas Petroleum Distributors,N/A,N/A
Paddy Distributors,info@paddycom.co.ke,0722787942
Pambazuko Distributors,info@pambazuko.co.ke,0711811837
Parit Distributors Ltd,N/A,N/A
Peponi Distributors Ltd,N/A,N/A
Pipe Manufacturers Limited,N/A,0733615328
Posner Klein Co. Ltd,posnerklein@ymail.com,0726916166
Progressive Distributors Ltd,progressivedistributorsltd@gmail.com,0770933024
Quality & Certified Halal Distributors,quality&certified@gmail.com,0788119987
Rainbow Manufacturers Ltd,N/A,0733947352
Rom Distributors,N/A,N/A
Rose Wood Furniture,N/A,0720413786
Roshni Distributors Ltd,roshni@africaonline.co.ke,0722828389
Rwathia Distributors Ltd,N/A,N/A
Saigul Distributors Ltd,N/A,0723507026
Sameer Africa Ltd,N/A,0733611138
Sham Distributors,N/A,0731213644
Shegeh Distributors Limited,N/A,0700825179
Shri Ganesha Manufacturers Ltd,sgmlkenya@yahoo.com,0725999491
Silentflow Exhaust Manufacturers Ltd,silentflowem@gmail.com,0774135011
Silver Star Manufacturers Ltd,N/A,0713661888
Skytone Distributors Ltd,skytonekenya@gmail.com,0722827007
Smile Industries Ltd,N/A,N/A
Sno-Wite Distributors Ltd,N/A,N/A
Software Distributors Africa Ltd,N/A,0704576829
Southern Film Distributors,N/A,N/A
Spai Distributors Ltd,N/A,0720434419
Specialised Towel Manufacturers Ltd,stm@swiftkenya.com,0713439373
Stallion Stationery Manufacturers Ltd,kenyakenya2012@gmail.com,0737608301
Sterling Distributors Ltd,N/A,N/A
Suba Books & Periodicals Distributors Ltd,subabooks@yahoo.com,0717355766
Suez Distributors,N/A,N/A
Sunlight Distributors,N/A,N/A
Super Manufacturers Ltd,info@super.co.ke,0722611211
Swastik Distributors Ltd,N/A,0732705705
Target Media Distributors,N/A,N/A
Teekay Distributors,N/A,0713730268
Tin Can Manufacturers Ltd,contactus@tincan.co.ke,0722209648
Titan Distributors (E A) Ltd,visu@titankenya.co.ke,0733700052
Towfiq Distributors Limited.,N/A,N/A
Trophil Distributors,N/A,0721621923
Tyrex Kenya,customer@tyrexkenya.co.ke,0722402895
Uhai Mediquip Distributors & Home Healthcare Services Ltd,uhaimediquip@gmail.com,0722526168
Umoja Manufacturers Ltd,N/A,N/A
Uniform Distributors Ltd,udl@africaonline.co.ke,0773456422
United Garments Manufacturers Ltd,N/A,0720901625
Urja Distributors,N/A,0728944025
Uzuri Manufacturers Ltd,N/A,N/A
Vaja''s Manufacturers Ltd,admin@vajas.com,0716152802
Vas Distributors,vasgroup1@gmail.com,0725747541
Veew Distributors Ltd,N/A,N/A
Vision Uniform Distributors Ltd,N/A,0720816010
Weaver Bird Garments Manufacturers,N/A,0724089655
Web Distributors,N/A,0722723782
Westend Channel Distributors Ltd,N/A,N/A
Wisdom Hardware Distributors,N/A,0722508248
Zaiper Distributors,N/A,N/A
Awa Distributors Ltd,N/A,N/A
Baharini Tyre Stores,N/A,0720556863
Dee Pee Distributors Ltd,N/A,N/A
Dofa Kenya Ltd,N/A,N/A
Glassware Distributors,N/A,N/A
Interfashions Garment Manufacturers,N/A,N/A
Joesaid Distributors,N/A,N/A
Kamau Famous Distributors Ltd,N/A,N/A
Kawsar Distributors Ltd,kawsar@africaonline.co.ke,N/A
Kenya Shirts Manufacturing Co,N/A,N/A
Kizingo Distributors (1984) Ltd,N/A,N/A
Magazeti Distributors Ltd,N/A,N/A
Mombasa Afrigas Distributors,N/A,0734589928
Mombasa Towel Manufacturers Ltd,N/A,N/A
Mutaratara Enterprises Ltd,N/A,N/A
Mvita Beverages Distributors Ltd,multad@yahoo.com,N/A
Nazej Distributors,N/A,N/A
Packaging Manufacturers (1976) Ltd,amersi@africaonline.co.ke,N/A
Safety Boot Manufacturers Ltd,N/A,N/A
Sapna Distributors Ltd,N/A,N/A
Springs Manufacturers Mombasa Ltd,N/A,N/A
Sunrise Tobacco Distributors Ltd,N/A,0733411422
T/Anew Mattress Manufacturers,N/A,N/A
Taib Holdings Ltd,N/A,N/A
Tawakal Manufacturers Ltd,N/A,N/A
Bima Distributors & Agencies Ltd,N/A,N/A
Edmag Distributors Ltd,N/A,N/A
Gilgil Distributors Ltd,N/A,N/A
N M Shah Distributors,N/A,N/A
Sonam Mattresses Ltd,N/A,0722202130
Adino Distributors,N/A,0733716478
Advanced Tyres (K) Ltd,N/A,0733250263
Agri Distributors Ltd,N/A,0722689801
Amar Distributors Ltd,amardistributors@yahoo.com,0725001499
Auto Spring Manufacturers Ltd,N/A,0770458832
Beam Stores & Food Manufacturers,N/A,N/A
Benjuma Distributors Ltd,N/A,N/A
Best buy Distributors,N/A,0713081888
Cabbora Bassa Distributors Ltd,N/A,N/A
Casurina Distributors Ltd,N/A,0733739922
Central Cables Distributors Ltd,centralcables.thika@gmail.com,0723006665
Chania Feeds Manufacturers Ltd,chaniaflour@wananchi.com,0710707684
Cheroma Distributors,N/A,N/A
Coast Battery Distributors,coastbattery@yahoo.com,0733634601
Crestline Auto Care,N/A,0723937111
Crown Distributors Ltd,N/A,N/A
Da''kianga Distributors Ltd,N/A,N/A
Dallas New Tyres,N/A,0710502132
Diamond Distribution Ltd,N/A,N/A
Distributors & Haulers (P) Ltd,N/A,N/A
East Zone Distributors Ltd,N/A,N/A
Elgonian Distributors,elgoniand@hotmail.com,0724841515
Elimu Distributors (KTL) Ltd,N/A,0722784284
Exakta Agencies Ltd,N/A,0734622444
Galaxy Distributors Ltd,N/A,0722173573
Ganesh Distributors,N/A,N/A
Generations Tyres Ltd,gtltyres@gmail.com,0716846141
Gideon Distributors Ltd,N/A,0722504265
H Tobacco Distributors,N/A,N/A
Hikvision Coast Regional Distributors,N/A,0720427755
Ima Distributors Ltd,N/A,N/A
Iten Distributors Ltd,N/A,N/A
Jayesh Auto Distributors Ltd,N/A,0733921419
Josemo Distributors,N/A,N/A
KAK Distributors Ltd,N/A,N/A
Kalama Distributors,N/A,N/A
Kamaruso Distributors Ltd,N/A,N/A
Kamba Wholesalers & Distributors,N/A,N/A
Kanyamu Distributors Ltd,N/A,N/A
Kanyanja Distributors Ltd,N/A,N/A
Karan Distributors,N/A,N/A
Kassam Sales Ltd,N/A,0725758546
Kaura & Rwito Distributors Ltd,N/A,N/A
Kay Vee Distributors,N/A,N/A
Kemera Distributors Ltd,N/A,N/A
Kenwear Garment Manufacturers,N/A,N/A
Kenya Assurance of Manufacturers,N/A,N/A
Kenya Vehicle Manufacturers Ltd,N/A,0722205168
Keringet Pure Natural Mineral Water,N/A,0734984181
Kiama Book Distributors,N/A,N/A
Kipirash Distributors Ltd,N/A,N/A
Kirinyaga Wine & Spirit Distributors,N/A,N/A
Kisii Associated Distributors,N/A,N/A
Kitui Distributors Ltd,N/A,N/A
Kwamba Distributors,N/A,N/A
Lakeside Distributors,lakekisumu@gmail.com,N/A
M R Qureshi Ltd,hirrabasit@yahoo.com,0722829982
Machakos Beer Distributors Ltd,N/A,N/A
Magadi Distributors,N/A,N/A
Maki Distributor Co Ltd,N/A,N/A
Makueni Distributors Ltd,N/A,N/A
Marwa Distributors Migori,N/A,N/A
Mjengo B Contractors & Transporters Balast Manufacturers,N/A,N/A
Mkurugenzi Distributors Ltd,N/A,N/A
Mt kenya Group,info@mtkenyagroup.co.ke,0792019962
Mt Kenya Petroleum Distributors Ltd,N/A,0722307320
Munaalu Distributors Co,N/A,N/A
Naivasha General Masters Distributors,N/A,0722673148
Ndeiya Happy Traders,N/A,N/A
Nepcoast Distributors,N/A,N/A
New Gideon Tyres & Automart,gideonnewtyres1980@gmail.com,0722731765
Ngasco Distributors Co,N/A,N/A
Ngeva Distributors,N/A,N/A
Ngumbi Auto Tyres,N/A,0722769847
Nyandarua Tyres Co Ltd,N/A,N/A
Offroad Tyre Center,N/A,0722561786
Omsai Distributors Ltd,N/A,0705705606


